# old	new_repo	new_number	new_filename
# Generated from the Part I appendix of adr-migration-audit.md.
124	supervisor	8	0008-artefacts-are-paired-by-contract-major.md
125	supervisor	9	0009-major-upgrades-are-never-automatic.md
126	supervisor	10	0010-before-1-0-the-caution-window-shifts-by-one.md
127	supervisor	11	0011-the-monitored-version-is-the-contract-not-the-artefact.md
128	sdk	8	0008-opentelemetry-is-the-telemetry-implementation.md
129	platform	77	0077-the-upgrade-channel-is-the-handoff-and-the-register.md
130	sdk	9	0009-the-module-metric-surface.md
131	platform	78	0078-passkeys-are-an-optional-layer-on-a-public-origin.md
132	platform	79	0079-totp-is-the-second-factor-that-works-everywhere.md
133	platform	80	0080-an-optional-capability-is-announced-once-when-it-becomes-possible.md
134	platform	81	0081-the-install-key.md
135	sdk	10	0010-the-sdk-carries-no-implementation.md
